ID,Title,Post,Tag
38,2018 authorization question,"i have the same problem as mark does and, yes, i did try and restart the computer.  it restarted and went into demo mode after giving the same exact prompt mark heard.  it says, ""activation successful click the finish button to exit"" supposedly the payment for sma has not been received yet. that,  they think is the problem. it is truly a bureaucratic problem, accounting did not send off the payment before the new release of 2018. oh, the joys of new releases.",Answer
39,2018 authorization question,"i had that quite a  bit with jaws 17, and had to go to the desktop, put the cursor on jaws 17, then shut down the demo mode, then press enter to fire up the full version. the demo mode eventually stopped.",Answer
40,2018 authorization question,"hey mark arnold!  at work i have about 6 laptops that is doing the same thing!  at home i have 1 desktop, with the same problems!  i have spent many hours  on the phone with vfo support, it' never got fixt!  what i did try messing with on my home pc was to swich the power plans to never turn off and this looks to help!  i see this on windows 7 windows 10 and 32 or 64 bit it just doesn't matter!  i try a brand new os install and still not  working!      jonas voll  support technician i  envision, inc.  2301 s water st  wichita,  ks 67213  o: 316-425-7141  f: 316-267-4312  www.envisionus.com    envision: to improve the quality of life and provide inspiration for the blind and visually impaired through employment, outreach, rehabilitation, education and research.",Answer
41,2018 authorization question,have you tried calling vfo?  its strange. but i had  to inter the activation code they emailed me again. but it was the same exact number. figure that out.  after this jaws worked again.,Answer
42,2018 authorization question,"hi,, was there ever a resolution to this? i am having a problem like this on ly laptop and so far no resolution.",Answer
43,2018 authorization question,"hi jim,  first i went through the registration properly, and then i made the speech adjustments that i wanted, and made sure that everything was saved. then i restarted the computer, and jaws came up properly.  i wonder if that whole settings thing that people have been talking about is causing problems with the proper jaws registration.  right now, my computer comes up showing the (settings) windows, and it wants me to choose a setting.  of course, i do not want to do that.  i am not able to get out of that window properly. i am not able to use (alt f4) properly.  i have to use (alt f) and then arrow up to (exit).  i hope that all this stuff gets sorted out with the next jaws update.  let us know what you get.  if what i suggested does not solve the problem, and you do solve it, let us know what you did. thanks.  blessings and all the very best,  pat  (807) 473-0909",Answer
44,2018 authorization question,"i have the same problem on about 5 pc's!  no fix from fs    jonas voll  support technician i  envision, inc.  2301 s water st  wichita,  ks 67213  o: 316-425-7141  f: 316-267-4312  www.envisionus.com    envision: to improve the quality of life and provide inspiration for the blind and visually impaired through employment, outreach, rehabilitation, education and research.",Answer
45,2018 authorization question,"i am also facing the same issue. i successfully able to activate jaws  2018 december release but now when i update to the february version,  it goes in demo mode.    i am using manual method to authorize. after entering the key when i  press  finish  button i am getting the success message.",Answer
47,2018 dvd,just got my jaws 2018 disk today.  is there anything on this dvd versus the downloaded version of jaws 2018?,Help
48,2018 dvd,"nope. i just keep them in a safe place.    dave  oregonian, woodworker, engineer, musician, and pioneer",Answer
49,2018 dvd,"no, the downloaded version is always the better one to use because by the time the dvd's are received the new version of jaws usually had at least one update so if you install from the dvd you just have to update right afterwards. i really think fs should ask their customers who wants a dvd and who doesn't and those who don't should get $10 off their sma.",Answer
50,2018 dvd,"i also have noticed that the dvd installs the 32 bit version of jaws  even though my machine can run 64 bit software. if you want to ensure  that the 64 bit version of jaws is installed, then download the 64 bit  version and use the dvd as a backup without internet access.    kelly",Answer
52,2018 dvd,i know because i installed jaws on my new 64 bit computer from the dvd  in 2013 and the 32 bit version was installed.  i have never installed  from the dvd again and now just download and install the 64 bit  version.    kelly,Answer
53,2018 dvd,"since joining the dark side, lol, i have downloaded the jaws 18 and now the 2018. i never gave getting the cd a second thought. everything is so coded now.  as in if purchasing office 365 at best buy, they give you a card with the product key on it, after you purchase it of course.  the same is true at costco.  they had a 4 tb external hard drive for $150.  do you get it off the shelf?  no.  they have a card to take up to the check out counter and you get the actual product there.",Answer
54,2018 dvd,"from my   understanding, when installing from the cd / dvd it's supposed to recognize your   operating system &amp; install the correct version.  everyone gets the same   cd because fs / vfo doesn't have a clue as to what operating systems people are   running.  also, it will install both 32 &amp; 64 bit components, ocr, is an   example.  look in your control panel / programs &amp; features, &amp; there   are both 32 &amp; 64 bit files.  i'm not trying to argue or   debate with you, because god only knows that just about every computer   user, at 1 time or another, has had something happen that defies 1 or both   logic / common sense!  lol                   take care.    mike.  sent from my ibarstool.  arguing with a woman is like reading a   software license agreement.  in the end you have to ignore everything,   &amp; click i agree.",Answer
55,2018 with a 250 g hardrive?,"i was given a hp lap top by a charitable group sponsored by the government. it has 6 gigs of ram and a 250 g hard drive.  is that enough to run jaws 2018 as well as other related products?  the agent knew i was blind.  perhaps the agent being sighted was not aware of the size of hard drive needed.  after all, he didn t know window eyes had been discontinued. i don t want to look a gift horse in the mouth however, fear the hard drive is not big enough to handle accessibility products.  it was suggested i just send the lap top back.",Help
56,2018 with a 250 g hardrive?,there is a partition and it has 45 gigs.  .,Answer
57,2018 with a 250 g hardrive?,is there anything on it? if not you can delete it and extend the primary partition to include it.,Answer
58,2018 with a 250 g hardrive?,the size of a drive or ssd is not the real available free space.  that 60 gb ssd only has about48gb free for your use because it uses about 12gb of space for its own use and is not available to you.,Answer
59,2018 with a 250 g hardrive?,"yes, but a windows and office installation takes no more than 6 or 8 gb so even if you start out with 48 gb you still have 40 gb left. anyhow, it comes down to unimportant details, the point i wanted to make is that 250 gb is a multiple of what you need to run windows and office and some other applications, as somebody else pointed out, they are running windows 10 on a system with a 32 gb ssd and below are the hardware requirements according to microsoft, essentially windows 10 should be able to run on just about any system that can run windows 7 and in some cases i would say windows 10 runs better:    processor: 1 gigahertz (ghz) or faster  ram: 1 gigabyte (gb) (32-bit) or 2 gb (64-bit)  free hard disk space: 16 gb  graphics card: microsoft directx 9 graphics device with wddm driver  a microsoft account and internet access",Answer
60,2018 with a 250 g hardrive?,"that is plenty!                          jonas        voll          support technician i              envision, inc.              2301 s water st            wichita  ,          ks          67213            o:    316-425-7141              f:    316-267-4312               www.envisionus.com           envision:     to improve the quality of life and provide inspiration and opportunity for people who are blind or visually impaired through employment,   outreach, rehabilitation, education and research.",Answer
61,2018 with a 250 g hardrive?,yes yes and yes     sent from my iphone,Answer
62,2018 with a 250 g hardrive?,"shouldn't have any trouble using that system at all.      legend has it that on tuesday 11/7/2017 01:25 pm, david &amp; his pack of dogs said:  ----------------------------------------   i was given a hp lap top by a charitable group sponsored by the government. it has 6 gigs of ram and a 250 g hard drive.  is that enough to run jaws 2018 as well as other related products?  the agent knew i was blind.  perhaps the agent being sighted was not aware of the size of hard drive needed.  after all, he didn't know window eyes had been discontinued. i don't want to look a gift horse in the mouth however, fear the hard drive is not big enough to handle accessibility products.  it was suggested i just send the lap top back.   ----------------------------------------",Answer
64,2018 with a 250 g hardrive?,"makes no difference for jaws, if it has 6 gb of ram this is probably a computer that is less than 5 years old and i have a pc at work with an intel e7400 cpu which will be 10 years old next february, it has 2 gb of ram and probably also a 250 gb or 500 gb hard drive and jaws runs fine on it. obviously at 10 years old it's not the fastest horse on the track, but it still does what it is supposed to do, it has windows 7 professional 64 bit installed on it and we use it at my store upstairs primarily to look up items in our pos system or go online for looking up something here and there.  this by the way was about $500 at the time with a $89 motherboard and all in all just a super-simple workstation.",Answer
65,2018 with a 250 g hardrive?,i suppose a great deal depends on what you need/want to do with a  computer. for basic browsing and email the described system is likely  enough (although even for browsing that will be very slow if you hit  the wrong site).,Answer
66,2018 with a 250 g hardrive?,"upgrading to a larger drive isn't very expensive these days. you can get into a 1tb drive (not ssd) for less than $100       bill spiry,  attorney at law  spiry law llc  188 w b street, building p  springfield, oregon 97477  (541) 600-3301  bill@...    note that if you are not a client of spiry law llc, this email does not create an attorney-client relationship and should not be construed as an acceptance of your case in the absence of a formal attorney-client agreement. if you are a client, the attorney-client privilege protects this email. if you have received this email message by mistake, i would appreciate it if you would reply to let us know  and then delete the message and any attachments completely from your computer system. i do not waive any client s privilege by misdelivered email.",Answer
67,2018 with a 250 g hardrive?,"hi:     i have a machined with 6gb on it and jaws runs fine.     with 4gb, you start to see a lot of swapping going on, but, with 6 or 8 and above, you get better performance.     cheers.        sent from  mail  for windows 10",Answer
68,2018 with a 250 g hardrive?,"that is fine unless you have a lot of        music or videos. my main os drive is a 100gb partition that has        all my software. all my media goes on a seperate 256gb ssd.          6gb of ram is fine also. 8 is the best price/performance balance        but 6 is fine. actually anything over 8 is a waste of money unless        you do serious cad or editing of some kind.          on 11/7/2017 1:16 pm, joseph norton wrote:                    hi:         i have a machined with 6gb on it and jaws            runs fine.         with 4gb, you start to see a lot of            swapping going on, but, with 6 or 8 and above, you get better            performance.         cheers.              sent from  mail  for windows 10             from:                david &amp; his pack of dogs       sent:  tuesday, november 7, 2017 2:25 pm     to:   main@jfw.groups.io      subject:  2018 with a 250 g hardrive?             i was given a hp lap top              by a charitable group sponsored by the government. it has 6              gigs of ram and a 250 g hard drive.  is that enough to run              jaws 2018 as well as other related products?  the agent knew              i was blind.  perhaps the agent being sighted was not aware              of the size of hard drive needed.  after all, he didn t know              window eyes had been discontinued. i don t want to look a              gift horse in the mouth however, fear the hard drive is not              big enough to handle accessibility products.  it was              suggested i just send the lap top back.                                   --   sincerely: randy barnett  owner of soundtique.  grants pass, or.",Answer
69,2018 with a 250 g hardrive?,"should work just fine.  pat byrneat 01:25 pm 11/7/2017, you wrote:",Answer
70,2018 with a 250 g hardrive?,"not sure, best buy said it had a 5.1 or slightly higher processor. i am sure  it is fast, just not sure it is big enough.  i got it back from best buy  sunday nov. 5 and already it says i just have about 39 gs left of storage  space.   .",Answer
71,2018 with a 250 g hardrive?,"the hard drive is beyond big enough. the accessibility software doesn't take that much space.   the windows operating system takes significantly more space than jaws.    and 6 gb of ram should be enough with a fast processor.    if you only have 39 gb of hard drive space, that is the files you are storing, not jaws.            to test this, launch windows explorer and navigate to your c drive.    open the program files folder and put the focus on the freedom scientific folder, but do not open it.    then hit the context menu key or shift-f10 select properties.    if you read the dialog, toward the end you should hear how many bytes are in the folder.            on my system, i have both jaws 18 and 2018 and the freedom scientific bolder is only 348 megabytes.    i also have openbook on my system and it takes over 1 gigabyte.    that is a minimal amount of space given the overall size of the drive.    richard                                 (sent from the ipod touch 6)",Answer
72,2018 with a 250 g hardrive?,"hi!  i have only 32 gig of space on a small hp laptop, an ssd drive.  i have windows 10 fall creators, jaws, nvda, google chrome browser, and many more programs, and all of that only takes up 16 gigs. so, if you do not put a lot of your own files on it, 250 gigs is way more than enough. if you need more room, you can buy an exterrnal storage drive with a terabyte for $70.00.  you have a great set up there.  i am so happy for you!  david moore  sent from  mail  for windows 10",Answer
73,2018 with a 250 g hardrive?,"there is definitely something wrong, you can install windowsssss and office on a system wwwwith a 60 gb ssd and still have probably 40 gb or more free space. if you have a 250 gb hard drive and there is nothing much other  than windows and maybe office there you should have at least 200 gb or more free space.  you said the computer was given to you, maybe it has an old windows installation on it although they only take maybe 3 or 4 gb, i'd do a disk cleanup and see what shows up and also make sure you check how much is in the recycle bin.  lastly, make sure the drive is not partitioned, maybe the c drive with the windows installation is just a 60 or 80 gb partition and you have another partition with the majority of the drive space in it.    regards,  sieghard",Answer
74,2018 with a 250 g hardrive?,"unless you are saveing a lot of music ,pictures or games you should have plentty of space.  i have a 500gb solid state drive and still have 240gb free.  this is with windows 10, openbook, window eyes, 2 versions of jaws,about 6 speech voices, wlm,firefox 52, gold wave , text aloud, itunes  to backup my iphone,, and about 6 gb of setup installations for those programs, dropbox with 2 gb of files which need  copies of the files before they will be uploaded.  etc.  etc.",Answer
75,32 bit or 64 - input please,"hi folks,    i need to replace my desktop pc in a hurry, and i'm trying to decide between 32 bit and 64. up to a few years ago at least, i know there was a different software package for each - 64 bit being more expensive. is that still the case? and either way, are there any other things that make a difference from an accessibility standpoint that i should take into consideration when making the choice?    cordially,    tina c.",Help
76,32 bit or 64 - input please,hello i found out that the 64 is a lot faster and now most new programs are   64 bit and if you are talking about jaws the cost is the same windows 10     will run on a 32 bit but it is much more responsive on a 64 bit. i have   both and am doing away with the 32 bit one hth.,Answer
77,32 bit or 64 - input please,good to know. thanks.     tina c.,Answer
78,32 bit or 64 - input please,"tina,           64-bit.  i didn't even know that anyone was selling a 32-bit machine in pc or laptop format these days.  32-bit is very rapidly going the way of the dinosaurs.    --       brian               a great many people think they are thinking when they are       merely rearranging their prejudices.               ~ william james",Answer
79,32 bit or 64 - input please,"shows how current i am. lol i was quite unaware of that, until a tech-savvy sighted friend mentioned something along the same lines just the other day. naturally, my ears perked up when she mentioned that 64 bit is definitely faster, but i hesitated to jump too fast, since i'd heard - a few years ago now - that compatible versions of programs i used, including jfw, were more expensive. not wanting to bite off more than i can financially chew, i decided to look before leaping, and it's sounding like 64 bit is definitely the way to go.     tina c.",Answer
80,32 bit or 64 - input please,"hello everyone! 32 bit systems will only handle up to 4 gigs of ram, which limits how quickly computers interact with software and may limit multitasking capabilities,   such as using jaws with other programs. 64 bit systems aren t limited to 4 gigs, and you can easily find computers with 8gigs up to 24 gigs of ram available! it s still recommended to use office 32 bit as the 64 bit has some issues, but other than that, 64   bit is the way to go. all newer iphones and androids are now fitted with 64 bit processor s as well. i don t think you can purchase a 32 bit system anymore unless it s used.               joshua",Answer
81,32 bit or 64 - input please,i just installed microsoft office home &amp; student edition 2016 on my windows 10 computer and i installed the 64 bit version since my computer which has a 64 bit operating system on it.  i am running windows 10 on both of my computers and have no problems.  in fact getting ready to do my last upgrade to microsoft office 2016 home and student edition sometime next week and both my computers will be running 64 bit versions of office and i also run the 64 bit versions of outlook which i have the stand alone versions of outlook 2016 on both my computers and have no trouble running outlook on either computer.,Answer
82,32 bit or 64 - input please,"consider getting the fastest processor possible.  fast processors make  computers more responsive with screen readers. currently, the intel  6700 is the fastest for desktops and i would suggest buying a computer  with it.  otherwise, an i7 processor should be chosen.      kelly",Answer
83,32 bit or 64 - input please,"hi,  actually, in terms of raw power, the fastest (and so far the most expensive) is intel core i7-6950x (costing $1723).  personally, i'd put more emphasis on ram and secondary storage: processors are eager to do work, but response from memory is not up to the par sometimes. also, i think you don't need a really fast processor - for most people, a decent i3 or an amd apu would be enough.  cheers,  joseph",Answer
84,3rd gen apple tv problem,"i have a 3rd gen apple tv and when i go to podcasts it wants me to sign in but no matter what i try, it won't accept my id and password.  i have 2 step authentication turned on and i know this is the cause of this new request to sign in but it sends 6 digit codes to my phone but there is nowhere to enter them in the sign in screens that come up under podcasts/my podcasts.  any ideas or is this just going to be the end of my use of this app?  i was easily able to go to the search tab and search for ""blind bargains"" and still listen to the podcast i wanted but i'd rather just use the link in the ""my podcasts"" tab.    thanks in advance  jeff        jeff armstrong    notice: this message is intended for the use of the individual or entity to which it is addressed and may contain information that is confidential, privileged and exempt from disclosure under applicable law. if the reader of this message is not the intended recipient, you are hereby notified that any printing, copying, dissemination, distribution, disclosure or forwarding of this communication is strictly prohibited. if you have received this communication in error, please contact the sender immediately and delete it from your system. thank you.    -----original message-----   from: mario  sent: monday, november 14, 2016 2:11 pm  to: main@jfw.groups.io  subject: re: acronyms saying letters    mike, for what it's worth, i don't think there would be a way other than  adding a dictionary entry because any synth would naturally try to  pronounce the acronym as a word, like i b m as ibm and o c r as ocr.  abbreviations like mn would be spoken as m n because there isn't a  vowel, but w a would be spoken as the sound when a baby whines.    -------- original message --------  from: mike b. [mailto:mwb5781@...]  sent: sunday, nov 13, 2016 8:56 pm est  to: main@jfw.groups.io  subject: acronyms saying letters    hi all,    running windows 7 &amp; jaws 16.  is there any way other than the dictionary  manager to have jaws read acronyms in all caps like, sos or  ups, as  individual letters instead of words?  i've tried changing settings with,  expand abbreviations &amp; acronyms, without any success, &amp; also, spell  alphanumeric data, without any luck there either.  all suggestions will  be greatly appreciated.  thanks much.  take care.  mike  sent from my ibarstool.",Help
85,40 minute mode after standby,"hi everyone,     does anyone know why jaws 15 goes to 40 minute mode after a windows 7 laptop is awoken from standby?  the message we get is that jaws needs to be activated. this message pops up immediately after returning from standby before the password can be typed in.    thank you for your help.    brian    sent from my iphone",Help
86,40 minute mode after standby,"hi, brian. sounds as if some major component of the computer has not awoke by the time jaws and the password dialogue comes up. maybe this is giving the laptop a different configuration than it normally has. this would fool jaws into thinking it isn't the same computer. this would give it a different locking code. with a different locking code, your activation code won't be valid, so jaws goes into 40-minute mode.  bill white billwhite92701@...",Answer
88,40 minute mode after standby,ri run jaws  17 on windows seven and for the past few versions of jaws sometimes when i have the screen locked and go and unlock it it says jaws is in 40 minute moat but i type in my password then it goes back to my desktop and jaws is happy and no longer in 40 minute mode that has been my experience  so nothing to worry about from my point of you have a nice day  shan  sent from my iphone,Answer
89,40 minute mode after standby,when i began to type the password i heard a ding for every keystroke and didn't see the cursor in the password field.    sent from my iphone,Answer
90,40 minute mode after standby,"i don't know, because i don't know which component or periferal device is causing your computer to think one of the devices is nonexistent. the only way you can avoid this is to turn off stand-by, or to find out exactly which device isn't coming online quickly after awakening the computer.  bill white billwhite92701@...",Answer
91,40 minute mode after standby,"you must make sure you are in the dialogue box requiring your password. 40-minute mode should have no detrimental effect on interacting with the password field, since even those with 40-minute mode have access to most aspects of jaws.  bill white billwhite92701@...",Answer
93,40 minute mode after standby,"thanks brian,  i have also faced a  similar challenge with the version of jaws.  i have overcome this by entering my password  and it comes back to normal.  secondly, i lost my open book license in this  manner. one day after  my computer went on demo mode and i put on the password, the  jaws,  was  restored however the open book lost its license.  i would like to seek assistance on how to  restore my open book license.  with kind regards and best wishes,  stan",Answer
94,40 minute mode after standby,"often, i have been advised to get rid of ""stand-by mode"" altogether, and have heard this recommendation given, especially to jaws users over the years, .  the current situation would seem to be another example of why this mode can be difficult.  jim h",Answer
127,a couple comments,my employer is going back to jaws.  i am concerned that the layered system we use: sawgrass:  will be a real challenge for even the latest version of jaws because of the layering effect of the data and the fact that  none of the engineers know how to write scripts to replace the set files which controlled hotkeys which made my work faster.  anyone have anything to say about jaws and sawgrass?,Help
128,a couple comments,"i have never heard of sawgrass.      is there anyway to contact the software company and find out if they know anything?      if they have had inquiries from other jaws users, they might know something.             richard                                  the secret is not to make your music louder, but to make the world quieter.          - mitch    albom  from the magic strings of frankie presto, page 1",Answer
129,a couple of questions,"hello everyone,    i migrated to jaws last month.  i am still earning things of course.     my first question is for windows 7, windows explorer.  if i go through the list of folders etc. using the up or down arrow, how do i hear the amount of space that specific folder or drive is using?    next i just used duxbury for the first time since i migrated.  i got a message asking me  if i wanted to have the jaws scripts installed.  i selected yes and the duxbury restarted as indicated.  i was wondering if there may be other jaws scripts which i may find of use.  how do i find a list?  does goldwave have a similar script?  i did not get a similar prompt when i used goldwave in the past few weeks.    thanks in advance for any help.    barbara",Help
130,a couple of questions,"as for the explorer question, do you have the view set to detail? if so,   i believe you should be able to simply right arrow to it, or it may also   involve using the windows classic theme.",Answer
131,a couple of questions,"hi barbara,             withe a drive or folder highlighted,   try the following:      1. press, alt + enter, to open the   drive / folder properties.      2. route the jaws cursor to the pc   cursor by pressing, insert / jaws key + numpad minus / jaws cursor   key.      3. press the, pageup / 7 key, to   take the cursor to the top of the screen, &amp; arrow down 1 line at a time to   get all the size, used space, &amp; free space information.            take care.  mike.  go dodgers!  sent from my   ibarstool.  arguing with a woman is like reading a software license   agreement.  in the end you have to ignore everything, &amp; click i   agree.",Answer
132,a couple of questions,"in file explorer, make sure you're using the details view. move the selection to the file you're interested in, then use right-arrow until you reach the ""size"" column.",Answer
133,a couple of questions,"for me the size column is only filled for drive or file nodes, not  folders. the properties method will work for folders as well.",Answer
134,a couple of questions,windows does not give size info for folders. just files and drives. if you want to know the size of a folder you have to alt + enter on the folder then use the jaws cursor to read the size of the folder by arrowing up until you hear the size of the folder.,Answer
135,a different problem,"good morning list; marv here.  first, running jfw17 and windows  10.  also using windows live mail.  my problem is jaws does not always  tell me when a message is unread meaning he does not say unread when he  should.  any help here would be appreciated and thanks in advance.",Help
136,a dropbox question,"hey guys,    i am using the latest jfw and dropbox. trying to figure out why i am  not seeing a feature.  when i use to do a right click on a file there  was an option called copy dropbox link.  it's no longer there.  any  ideas, am i missing something?    cheers,  jed",Help
138,a dropbox question,"i just gave it a try and it's still there for me. using win ten, nvda. the only thing i don't know, is if my version of dropbox is current. i assume it updates on it's own. i know it's always updating on my iphone.",Answer
140,a few questions.,"hello everyone,   i'll be starting an internship coming up this week, and the people i'm going to work for had a few questions. firstly, they wanted to have some sort of data entry program that would log in their customers info. i suggested using something like excel, but they said that excel was a little too complex for what they were wanting to do. they said they wanted to use something like a google sheets to do this. is google sheets accessible with jaws? or is there another program that can handle data entry?   also, i'm going to be composing some newsletters and various brochures. they currently use microsoft publisher. is microsoft publisher accessible with jaws 18?   thanks for any and all assistance, shane.   --      thanks, shane.",Help
141,a few questions.,"google sheets is definitely accessible with jaws. all of google drive is accessible.     --     marianne denning, tvi, ma  teacher of students who are blind or visually impaired  (513) 607-6053",Answer
142,a few questions.,it is accessible if you know the keystrokes. they're different from jaws unless you can provide guidance.      dr. jeanette mcallister  757-346-0708         sent from my iphone,Answer
144,a few questions.,"google sheets is a way for multiple people to work on and share a spreadsheet. there is all google slides and google docs. you can determine who you share the google drive products with and what level of editing is available. it is frequently used in schools but can be sued any time you need to work on something with others. the commands are different than commands for word, ppt and excel. you can do a google search and find a list of commands.",Answer
145,a few questions.,"cool, i get it. i have google docs, that i had to set up when someone shared a video with me.    how would i go about moving that video from my google docs app; into my video section of my photos app?",Answer
146,a few questions.,"i hope someone will correct me if this is the wrong information. when i want to save a document from google drive i press ctrl, shift, f and down arrow. i think one of the choices is save as. you have other options there like share... once you enter on save as you do just like you would if you were saving anything else.",Answer
147,a few questions.,"thank you ma am, i ll give that a try!",Answer
148,a few questions.,and where can we get a list of the keystrokes?     dr.  tom behler from michigan,Help
149,a few questions.,"okay, i really goofed on that explanation. you hit alt, shift f and either arrow down to download as or hit the letter d to get there quickly. i apologize for that really big goof.       --     marianne denning, tvi, ma  teacher of students who are blind or visually impaired  (513) 607-6053",Answer
151,a few questions.,"doc tom, i have these for keyboard with tablet:      if you use the keyboard:  escape key - back  home - f1   f3 - settings  control-alt- r - rrecent screens  control- alt- n - notification screen  review screen -n press alt-up, down, left or right arrow keys  alt-enter - activate an item   alt-shift-enter - long press. long press is when you double tap and then on the second tap you hold your finger on the item until a context menu pops up with extra options for that item.    i have gone to google to try to obtain a complete list, but so far, have not found them like i did for windows 10, word and a few things like that.     bye for now,    carolyn",Answer
152,a few questions.,just google google drive accessible commands jaws.,Answer
153,a few questions.,"re: publisher, i believe you can do the document in word and import it into publisher.  can anyone else confirm?     ted",Answer
154,a free secure file eraser,good morning   does anybody know of a free program that will erase files securely that works good with jaws?     thank you.,Help
155,a free secure file eraser,"i haven't tried all of these, but since they're all free, maybe        someone else will.     https://www.lifewire.com/free-file-shredder-software-programs-2619149     eraser has always been my fave, but wipefile is good, too.",Answer
156,a free secure file eraser,"hello:         it is funny you would say that, i tried to use eraser and i cant get it to erase any files.         could you maybe tell me how to use eraser with an example.         thank you so mutch.",Answer
158,a free secure file eraser,i tried to find it the only thing could see was the drive wiper it would handel drives but not indivigal files.     have a good day.,Answer
159,a function in the script langauge,"hi all,  i want to use the function  setactivevoiceprofilebyindex ()  but its running depends of operation system and voiceprofiles. if somebody knows script translation and using - can try my test script below. it usually ends between 120 and 380 cycles.  the error: the voice becames other faster voice or silence.  why?    best regards,    miklos    ***        script test ()    var    int english,    int hungarian,    int i,    int j,    string s    let s=""2""    if !(inputbox(""first voice index?"",""test"",s)) then    return    endif    let english=stringtoint(s)-1    let s=""5""    if !(inputbox(""second voice index?"",""test"",s)) then    return    endif    let hungarian=stringtoint(s)-1    let s=""500""    if !(inputbox(""how many times?"",""test"",s)) then    return    endif    let j=stringtoint(s)    if j==0 then    saystring(""value error!"")    endif    for i=1 to j    beep()    setactivevoiceprofilebyindex (hungarian)    if (i/20)*20==i then    sayinteger(i)    delay(13,1)    endif    setactivevoiceprofilebyindex (english)    if (i/20)*20==i then    sayinteger(i)    delay(15,1)    endif    endfor    setactivevoiceprofilebyindex (hungarian)    saystring(""it is end of script."")    endscript",Help
160,a function in the script langauge,"not to discourage from posting questions on this list, but you might   find it more useful to join the jaws scripting list if you have specific   questions about writing scripts for jaws, such as functions, statements,   etc.:   https://www.freelists.org/list/jawsscripting     hope this helps you.",Answer
