"26","2016 and advanced find","i'm not having issues with the find.  i just tried f3, which i had not used before and it found messages rather quickly.  i previously used control+e.    it doesn't identify itself as advanced find.  is there more steps to what you are doing?    richard","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"27","2016 and advanced find","hi, richard.  i use control-shift-f to bring up the advanced find.  i'm still playing with f3 and will try control-e.  so here's an example.  i'd press control shift-f and the initial choice is a edit combo wher you  can type in a string you might find in the subject.  so i would type in sticky keys  press enter and after a few secondsthe program would stop searching.  at that point i would press f6 to get quickly to the results.  i would then select all the messages either delete or perhaps move them  somewhere.  all the best, brian    brian","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"28","2016 and advanced find","i see what you mean.  that isn't working at all like it should.  i'll have to try that at work where we have windows 7 and office 2013.    thanks,  richard","following","tagged",NULL,"undefined","undefined","undefined","Clarification","undefined","undefined"
"29","2016 and advanced find","hi all:    i have experienced the same issue with the advance search and outlook 2016. i reported it couple of times in the past to freedom scientific and was hoping as new jaws updates came out it will be fixed. this is not an issue with office 2013.  another frustrating issue with outlook 2016, which i also reported to fs, is that if you tried to add or edit your email signature, jaws does not read the text in the signature box. also accessing the list of attachments sometimes it works and others it doesn't. hopefully fs will work on fixing some of these issues soon.    thanks","following","tagged",NULL,"undefined","undefined","undefined","undefined","Elaboration","undefined"
"30","2016 and advanced find","i am using office 2016 and jaws 18 latest update on a windows 7 desktop at my business and i can review myu signature no problem. i have to check on my windows 10 laptop, can't remember if i had issues there.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"31","2016 and advanced find","trying to set a signature in outlook is one pain and a half.      best from,    carolyn","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"32","2016 and advanced find","what do you find so difficult? i just did a test signature in addition to my regular signature i use for my business email and didn't find it particular difficult.  you can always write you email first in word, then copy it and simply paste it into the appropriate spot i n outlook.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"33","2016 and advanced find","i just copy now in my forwards and responses. i have to  remember, if i have something else on the clipboard to redo  the signature.     best from,    carolyn","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"34","2016 and advanced find","as it turns out, it appears this find issue is less of a problem with jaws  16. on the surface that doesn't make clear sense to me. it may make sense to  someone else with some hhigher technical knowledge than yours truly.  when i do the advanced find with jaws sixteen running, the find does not  hang on the stop button.  methinks i'll contact freedom scientific support.  brian","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"35","2018 authorization question","group,     i checked my upgrade status on the freedom scientific website and i am entitled to an upgrade.  i downloaded the appropriate 64 bit version and installed jaws 2018.  i went through the steps to activate the program and jaws informed me that activation was successful.  i then migrated settings from jaws 18.  when i went to the jaws window and activated the help menu and then to about.  to my surprise, it informs me that jaws is running in demonstration mode.  anyone have any ideas why this is occurring?     thanks in advance,  mark","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"36","2018 authorization question","hi,  have you tried restarting jaws?","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"37","2018 authorization question","i wonder if it would make any difference. but did you install the full version over the 2018 beta?","following","tagged",NULL,"undefined","undefined","undefined","Clarification","undefined","undefined"
"38","2018 authorization question","i have the same problem as mark does and, yes, i did try and restart the computer.  it restarted and went into demo mode after giving the same exact prompt mark heard.  it says, ""activation successful click the finish button to exit"" supposedly the payment for sma has not been received yet. that,  they think is the problem. it is truly a bureaucratic problem, accounting did not send off the payment before the new release of 2018. oh, the joys of new releases.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"39","2018 authorization question","i had that quite a  bit with jaws 17, and had to go to the desktop, put the cursor on jaws 17, then shut down the demo mode, then press enter to fire up the full version. the demo mode eventually stopped.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"40","2018 authorization question","hey mark arnold!  at work i have about 6 laptops that is doing the same thing!  at home i have 1 desktop, with the same problems!  i have spent many hours  on the phone with vfo support, it' never got fixt!  what i did try messing with on my home pc was to swich the power plans to never turn off and this looks to help!  i see this on windows 7 windows 10 and 32 or 64 bit it just doesn't matter!  i try a brand new os install and still not  working!      jonas voll  support technician i  envision, inc.  2301 s water st  wichita,  ks 67213  o: 316-425-7141  f: 316-267-4312  www.envisionus.com    envision: to improve the quality of life and provide inspiration for the blind and visually impaired through employment, outreach, rehabilitation, education and research.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"41","2018 authorization question","have you tried calling vfo?  its strange. but i had  to inter the activation code they emailed me again. but it was the same exact number. figure that out.  after this jaws worked again.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"42","2018 authorization question","hi,, was there ever a resolution to this? i am having a problem like this on ly laptop and so far no resolution.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"43","2018 authorization question","hi jim,  first i went through the registration properly, and then i made the speech adjustments that i wanted, and made sure that everything was saved. then i restarted the computer, and jaws came up properly.  i wonder if that whole settings thing that people have been talking about is causing problems with the proper jaws registration.  right now, my computer comes up showing the (settings) windows, and it wants me to choose a setting.  of course, i do not want to do that.  i am not able to get out of that window properly. i am not able to use (alt f4) properly.  i have to use (alt f) and then arrow up to (exit).  i hope that all this stuff gets sorted out with the next jaws update.  let us know what you get.  if what i suggested does not solve the problem, and you do solve it, let us know what you did. thanks.  blessings and all the very best,  pat  (807) 473-0909","following","tagged",NULL,"undefined","undefined","undefined","undefined","Elaboration","undefined"
"44","2018 authorization question","i have the same problem on about 5 pc's!  no fix from fs    jonas voll  support technician i  envision, inc.  2301 s water st  wichita,  ks 67213  o: 316-425-7141  f: 316-267-4312  www.envisionus.com    envision: to improve the quality of life and provide inspiration for the blind and visually impaired through employment, outreach, rehabilitation, education and research.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"45","2018 authorization question","i am also facing the same issue. i successfully able to activate jaws  2018 december release but now when i update to the february version,  it goes in demo mode.    i am using manual method to authorize. after entering the key when i  press  finish  button i am getting the success message.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"46","2018 authorization question","this is a sporadic issue for them. sometimes you have to get technical support to go in and give you a different unlocking code.          get  outlook for ios","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"47","2018 dvd","just got my jaws 2018 disk today.  is there anything on this dvd versus the downloaded version of jaws 2018?","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"48","2018 dvd","nope. i just keep them in a safe place.    dave  oregonian, woodworker, engineer, musician, and pioneer","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"49","2018 dvd","no, the downloaded version is always the better one to use because by the time the dvd's are received the new version of jaws usually had at least one update so if you install from the dvd you just have to update right afterwards. i really think fs should ask their customers who wants a dvd and who doesn't and those who don't should get $10 off their sma.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"50","2018 dvd","i also have noticed that the dvd installs the 32 bit version of jaws  even though my machine can run 64 bit software. if you want to ensure  that the 64 bit version of jaws is installed, then download the 64 bit  version and use the dvd as a backup without internet access.    kelly","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"51","2018 dvd","hi   kelly,                 out of curiosity,   why do you say jaws installs a 32 bit version on a 64 bit system?  by   accident i tried to run a 32 bit installer  to my 64 bit system, &amp; i   got an error message.  i don't recall what the error message stated, but it   had to installing the wrong version on my computer.  if you look in both   your program files &amp; program files x86 folders on the root of your os   drive you'll see that freedom scientific folders in both, but only if you are   running a 64 bit system.  if you're running a 32 bit system, i forget which   1, but you'  ll only   have 1 of the program folders, not both on your os   drive.        take care.  mike.  sent from my ibarstool.  arguing with a   woman is like reading a software license agreement.  in the end you have to   ignore everything, &amp; click i agree.","following","tagged",NULL,"undefined","undefined","undefined","Clarification","undefined","undefined"
"52","2018 dvd","i know because i installed jaws on my new 64 bit computer from the dvd  in 2013 and the 32 bit version was installed.  i have never installed  from the dvd again and now just download and install the 64 bit  version.    kelly","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"53","2018 dvd","since joining the dark side, lol, i have downloaded the jaws 18 and now the 2018. i never gave getting the cd a second thought. everything is so coded now.  as in if purchasing office 365 at best buy, they give you a card with the product key on it, after you purchase it of course.  the same is true at costco.  they had a 4 tb external hard drive for $150.  do you get it off the shelf?  no.  they have a card to take up to the check out counter and you get the actual product there.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"54","2018 dvd","from my   understanding, when installing from the cd / dvd it's supposed to recognize your   operating system &amp; install the correct version.  everyone gets the same   cd because fs / vfo doesn't have a clue as to what operating systems people are   running.  also, it will install both 32 &amp; 64 bit components, ocr, is an   example.  look in your control panel / programs &amp; features, &amp; there   are both 32 &amp; 64 bit files.  i'm not trying to argue or   debate with you, because god only knows that just about every computer   user, at 1 time or another, has had something happen that defies 1 or both   logic / common sense!  lol                   take care.    mike.  sent from my ibarstool.  arguing with a woman is like reading a   software license agreement.  in the end you have to ignore everything,   &amp; click i agree.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"55","2018 with a 250 g hardrive?","i was given a hp lap top by a charitable group sponsored by the government. it has 6 gigs of ram and a 250 g hard drive.  is that enough to run jaws 2018 as well as other related products?  the agent knew i was blind.  perhaps the agent being sighted was not aware of the size of hard drive needed.  after all, he didn t know window eyes had been discontinued. i don t want to look a gift horse in the mouth however, fear the hard drive is not big enough to handle accessibility products.  it was suggested i just send the lap top back.","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"56","2018 with a 250 g hardrive?","there is a partition and it has 45 gigs.  .","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"57","2018 with a 250 g hardrive?","is there anything on it? if not you can delete it and extend the primary partition to include it.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"58","2018 with a 250 g hardrive?","the size of a drive or ssd is not the real available free space.  that 60 gb ssd only has about48gb free for your use because it uses about 12gb of space for its own use and is not available to you.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"59","2018 with a 250 g hardrive?","yes, but a windows and office installation takes no more than 6 or 8 gb so even if you start out with 48 gb you still have 40 gb left. anyhow, it comes down to unimportant details, the point i wanted to make is that 250 gb is a multiple of what you need to run windows and office and some other applications, as somebody else pointed out, they are running windows 10 on a system with a 32 gb ssd and below are the hardware requirements according to microsoft, essentially windows 10 should be able to run on just about any system that can run windows 7 and in some cases i would say windows 10 runs better:    processor: 1 gigahertz (ghz) or faster  ram: 1 gigabyte (gb) (32-bit) or 2 gb (64-bit)  free hard disk space: 16 gb  graphics card: microsoft directx 9 graphics device with wddm driver  a microsoft account and internet access","following","tagged",NULL,"undefined","undefined","undefined","undefined","Elaboration","undefined"
"60","2018 with a 250 g hardrive?","that is plenty!                          jonas        voll          support technician i              envision, inc.              2301 s water st            wichita  ,          ks          67213            o:    316-425-7141              f:    316-267-4312               www.envisionus.com           envision:     to improve the quality of life and provide inspiration and opportunity for people who are blind or visually impaired through employment,   outreach, rehabilitation, education and research.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"61","2018 with a 250 g hardrive?","yes yes and yes     sent from my iphone","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"62","2018 with a 250 g hardrive?","shouldn't have any trouble using that system at all.      legend has it that on tuesday 11/7/2017 01:25 pm, david &amp; his pack of dogs said:  ----------------------------------------   i was given a hp lap top by a charitable group sponsored by the government. it has 6 gigs of ram and a 250 g hard drive.  is that enough to run jaws 2018 as well as other related products?  the agent knew i was blind.  perhaps the agent being sighted was not aware of the size of hard drive needed.  after all, he didn't know window eyes had been discontinued. i don't want to look a gift horse in the mouth however, fear the hard drive is not big enough to handle accessibility products.  it was suggested i just send the lap top back.   ----------------------------------------","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"63","2018 with a 250 g hardrive?","what processor does it have, such as intel model or amd model and speed?","following","tagged",NULL,"undefined","undefined","undefined","Clarification","undefined","undefined"
"64","2018 with a 250 g hardrive?","makes no difference for jaws, if it has 6 gb of ram this is probably a computer that is less than 5 years old and i have a pc at work with an intel e7400 cpu which will be 10 years old next february, it has 2 gb of ram and probably also a 250 gb or 500 gb hard drive and jaws runs fine on it. obviously at 10 years old it's not the fastest horse on the track, but it still does what it is supposed to do, it has windows 7 professional 64 bit installed on it and we use it at my store upstairs primarily to look up items in our pos system or go online for looking up something here and there.  this by the way was about $500 at the time with a $89 motherboard and all in all just a super-simple workstation.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"65","2018 with a 250 g hardrive?","i suppose a great deal depends on what you need/want to do with a  computer. for basic browsing and email the described system is likely  enough (although even for browsing that will be very slow if you hit  the wrong site).","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"66","2018 with a 250 g hardrive?","upgrading to a larger drive isn't very expensive these days. you can get into a 1tb drive (not ssd) for less than $100       bill spiry,  attorney at law  spiry law llc  188 w b street, building p  springfield, oregon 97477  (541) 600-3301  bill@...    note that if you are not a client of spiry law llc, this email does not create an attorney-client relationship and should not be construed as an acceptance of your case in the absence of a formal attorney-client agreement. if you are a client, the attorney-client privilege protects this email. if you have received this email message by mistake, i would appreciate it if you would reply to let us know  and then delete the message and any attachments completely from your computer system. i do not waive any client s privilege by misdelivered email.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"67","2018 with a 250 g hardrive?","hi:     i have a machined with 6gb on it and jaws runs fine.     with 4gb, you start to see a lot of swapping going on, but, with 6 or 8 and above, you get better performance.     cheers.        sent from  mail  for windows 10","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"68","2018 with a 250 g hardrive?","that is fine unless you have a lot of        music or videos. my main os drive is a 100gb partition that has        all my software. all my media goes on a seperate 256gb ssd.          6gb of ram is fine also. 8 is the best price/performance balance        but 6 is fine. actually anything over 8 is a waste of money unless        you do serious cad or editing of some kind.          on 11/7/2017 1:16 pm, joseph norton wrote:                    hi:         i have a machined with 6gb on it and jaws            runs fine.         with 4gb, you start to see a lot of            swapping going on, but, with 6 or 8 and above, you get better            performance.         cheers.              sent from  mail  for windows 10             from:                david &amp; his pack of dogs       sent:  tuesday, november 7, 2017 2:25 pm     to:   main@jfw.groups.io      subject:  2018 with a 250 g hardrive?             i was given a hp lap top              by a charitable group sponsored by the government. it has 6              gigs of ram and a 250 g hard drive.  is that enough to run              jaws 2018 as well as other related products?  the agent knew              i was blind.  perhaps the agent being sighted was not aware              of the size of hard drive needed.  after all, he didn t know              window eyes had been discontinued. i don t want to look a              gift horse in the mouth however, fear the hard drive is not              big enough to handle accessibility products.  it was              suggested i just send the lap top back.                                   --   sincerely: randy barnett  owner of soundtique.  grants pass, or.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"69","2018 with a 250 g hardrive?","should work just fine.  pat byrneat 01:25 pm 11/7/2017, you wrote:","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"70","2018 with a 250 g hardrive?","not sure, best buy said it had a 5.1 or slightly higher processor. i am sure  it is fast, just not sure it is big enough.  i got it back from best buy  sunday nov. 5 and already it says i just have about 39 gs left of storage  space.   .","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"71","2018 with a 250 g hardrive?","the hard drive is beyond big enough. the accessibility software doesn't take that much space.   the windows operating system takes significantly more space than jaws.    and 6 gb of ram should be enough with a fast processor.    if you only have 39 gb of hard drive space, that is the files you are storing, not jaws.            to test this, launch windows explorer and navigate to your c drive.    open the program files folder and put the focus on the freedom scientific folder, but do not open it.    then hit the context menu key or shift-f10 select properties.    if you read the dialog, toward the end you should hear how many bytes are in the folder.            on my system, i have both jaws 18 and 2018 and the freedom scientific bolder is only 348 megabytes.    i also have openbook on my system and it takes over 1 gigabyte.    that is a minimal amount of space given the overall size of the drive.    richard                                 (sent from the ipod touch 6)","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"72","2018 with a 250 g hardrive?","hi!  i have only 32 gig of space on a small hp laptop, an ssd drive.  i have windows 10 fall creators, jaws, nvda, google chrome browser, and many more programs, and all of that only takes up 16 gigs. so, if you do not put a lot of your own files on it, 250 gigs is way more than enough. if you need more room, you can buy an exterrnal storage drive with a terabyte for $70.00.  you have a great set up there.  i am so happy for you!  david moore  sent from  mail  for windows 10","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"73","2018 with a 250 g hardrive?","there is definitely something wrong, you can install windowsssss and office on a system wwwwith a 60 gb ssd and still have probably 40 gb or more free space. if you have a 250 gb hard drive and there is nothing much other  than windows and maybe office there you should have at least 200 gb or more free space.  you said the computer was given to you, maybe it has an old windows installation on it although they only take maybe 3 or 4 gb, i'd do a disk cleanup and see what shows up and also make sure you check how much is in the recycle bin.  lastly, make sure the drive is not partitioned, maybe the c drive with the windows installation is just a 60 or 80 gb partition and you have another partition with the majority of the drive space in it.    regards,  sieghard","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"74","2018 with a 250 g hardrive?","unless you are saveing a lot of music ,pictures or games you should have plentty of space.  i have a 500gb solid state drive and still have 240gb free.  this is with windows 10, openbook, window eyes, 2 versions of jaws,about 6 speech voices, wlm,firefox 52, gold wave , text aloud, itunes  to backup my iphone,, and about 6 gb of setup installations for those programs, dropbox with 2 gb of files which need  copies of the files before they will be uploaded.  etc.  etc.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"75","32 bit or 64 - input please","hi folks,    i need to replace my desktop pc in a hurry, and i'm trying to decide between 32 bit and 64. up to a few years ago at least, i know there was a different software package for each - 64 bit being more expensive. is that still the case? and either way, are there any other things that make a difference from an accessibility standpoint that i should take into consideration when making the choice?    cordially,    tina c.","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"76","32 bit or 64 - input please","hello i found out that the 64 is a lot faster and now most new programs are   64 bit and if you are talking about jaws the cost is the same windows 10     will run on a 32 bit but it is much more responsive on a 64 bit. i have   both and am doing away with the 32 bit one hth.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"77","32 bit or 64 - input please","good to know. thanks.     tina c.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"78","32 bit or 64 - input please","tina,           64-bit.  i didn't even know that anyone was selling a 32-bit machine in pc or laptop format these days.  32-bit is very rapidly going the way of the dinosaurs.    --       brian               a great many people think they are thinking when they are       merely rearranging their prejudices.               ~ william james","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
